,Cosine Similarity,Jaccard Similarity,Plagiarism
0,0.7138961838770008,0.14893617021276595,1
1,0.5,0.0,0
2,0.5,0.1,0
3,0.9,0.9,1
4,0.9,0.8,1
5,0.9,0.7,1
6,0.9,0.6,1
7,0.9,0.6,1
8,0.9,0.6,1
9,0.8,0.2,1
10,0.77,0.3,1
11,0.5,0.3,0
12,0.5,0.5,0
13,0.9,0.5,1
14,0.9,0.4,1
15,0.9,0.3,1
16,0.9,0.2,1
17,0.9,0.1,1
18,0.8,0.2,1
19,0.5076221384355012,0.20833333333333334,0
20,0.8861234069792462,0.5806451612903226,1
21,0.7138961838770008,0.14893617021276595,1
22,0.3040782960694573,0.05714285714285714,0
23,0.5534406393069357,0.058823529411764705,0
24,0.4659682365978739,0.10416666666666667,0
25,0.7221689226393052,0.14285714285714285,0
26,0.6777546323428283,0.09375,0
27,0.5076221384355012,0.20833333333333334,0
28,0.5203455480897098,0.07894736842105263,0
29,0.4821866413726838,0.07692307692307693,0
30,0.5602015605575558,0.07407407407407407,0
31,0.5054318342903031,0.09375,0
32,0.24251222782108417,0.043478260869565216,0
33,0.4769929492979544,0.034482758620689655,0
34,0.427614671241901,0.08571428571428572,0
35,0.4494006954537489,0.038461538461538464,0
36,0.9696565649389465,0.7096774193548387,1
37,0.8045103976170994,0.22857142857142856,1
38,0.824097147508412,0.1951219512195122,1
39,0.9078176337864982,0.3170731707317073,1
40,0.8794301215736592,0.47058823529411764,1
41,0.8774619952601843,0.5294117647058824,1
42,0.999999999,1.0,1
43,0.8987352268300897,0.4594594594594595,1
44,0.8530408187607739,0.4782608695652174,1
45,0.7741487164635636,0.4482758620689655,1
46,0.9081173483394802,0.5454545454545454,1
